uid,id,rarity,time,banner,type,manual
1715141400001166811,20017,3,2024-05-08T04:57:58.000Z,1001,1,false
1715141400001166911,20010,3,2024-05-08T04:57:58.000Z,1001,1,false
1715141400001167011,20018,3,2024-05-08T04:57:58.000Z,1001,1,false
1715141400001167111,20003,3,2024-05-08T04:57:58.000Z,1001,1,false
1715141400001167211,20017,3,2024-05-08T04:57:58.000Z,1001,1,false
1715141400001167311,20009,3,2024-05-08T04:57:58.000Z,1001,1,false
1715141400001167411,20015,3,2024-05-08T04:57:58.000Z,1001,1,false
1715141400001173311,20014,3,2024-05-08T04:58:09.000Z,1001,1,false
1715141400001173411,21015,4,2024-05-08T04:58:09.000Z,1001,1,false
1715141400001173511,20007,3,2024-05-08T04:58:09.000Z,1001,1,false
1715141400001173611,20020,3,2024-05-08T04:58:09.000Z,1001,1,false
1715141400001173711,1002,4,2024-05-08T04:58:09.000Z,1001,1,false
1715141400001173811,20001,3,2024-05-08T04:58:09.000Z,1001,1,false
1715141400001173911,20009,3,2024-05-08T04:58:09.000Z,1001,1,false
1715141400001174011,20014,3,2024-05-08T04:58:09.000Z,1001,1,false
1715141400001174111,20015,3,2024-05-08T04:58:09.000Z,1001,1,false
1715141400001174211,20014,3,2024-05-08T04:58:09.000Z,1001,1,false
1715141400001176811,20007,3,2024-05-08T04:58:17.000Z,1001,1,false
1715141400001176911,20015,3,2024-05-08T04:58:17.000Z,1001,1,false
1715141400001177011,20017,3,2024-05-08T04:58:17.000Z,1001,1,false
1715141400001177111,20016,3,2024-05-08T04:58:17.000Z,1001,1,false
1715141400001177211,1108,4,2024-05-08T04:58:17.000Z,1001,1,false
1715141400001177311,20015,3,2024-05-08T04:58:17.000Z,1001,1,false
1715141400001177411,20006,3,2024-05-08T04:58:17.000Z,1001,1,false
1715141400001177511,20000,3,2024-05-08T04:58:17.000Z,1001,1,false
1715141400001177611,20013,3,2024-05-08T04:58:17.000Z,1001,1,false
1715141400001177711,20018,3,2024-05-08T04:58:17.000Z,1001,1,false
1715141400001179811,20002,3,2024-05-08T04:58:24.000Z,1001,1,false
1715141400001179911,20000,3,2024-05-08T04:58:24.000Z,1001,1,false
1715141400001180011,20006,3,2024-05-08T04:58:24.000Z,1001,1,false
1715141400001180111,21020,4,2024-05-08T04:58:24.000Z,1001,1,false
1715141400001180211,20009,3,2024-05-08T04:58:24.000Z,1001,1,false
1715141400001180311,20002,3,2024-05-08T04:58:24.000Z,1001,1,false
1715141400001180411,20006,3,2024-05-08T04:58:24.000Z,1001,1,false
1715141400001180511,1110,4,2024-05-08T04:58:24.000Z,1001,1,false
1715141400001180611,20017,3,2024-05-08T04:58:24.000Z,1001,1,false
1715141400001180711,20006,3,2024-05-08T04:58:24.000Z,1001,1,false
1715141400001185411,20012,3,2024-05-08T04:58:41.000Z,1001,1,false
1715141400001185511,20020,3,2024-05-08T04:58:41.000Z,1001,1,false
1715141400001185611,20016,3,2024-05-08T04:58:41.000Z,1001,1,false
1715141400001185711,20005,3,2024-05-08T04:58:41.000Z,1001,1,false
1715141400001185811,20007,3,2024-05-08T04:58:41.000Z,1001,1,false
1715141400001185911,20014,3,2024-05-08T04:58:41.000Z,1001,1,false
1715141400001186011,21008,4,2024-05-08T04:58:41.000Z,1001,1,false
1715141400001186111,20012,3,2024-05-08T04:58:41.000Z,1001,1,false
1715141400001186211,20019,3,2024-05-08T04:58:41.000Z,1001,1,false
1715141400001186311,23002,5,2024-05-08T04:58:41.000Z,1001,1,false
1718899800000445011,20005,3,2024-06-20T16:55:30.000Z,1001,1,false
1718899800000445111,20004,3,2024-06-20T16:55:30.000Z,1001,1,false
1718899800000445211,20014,3,2024-06-20T16:55:30.000Z,1001,1,false
1718899800000445311,20001,3,2024-06-20T16:55:30.000Z,1001,1,false
1718899800000445411,20007,3,2024-06-20T16:55:30.000Z,1001,1,false
1718899800000445511,20018,3,2024-06-20T16:55:30.000Z,1001,1,false
1718899800000445611,1009,4,2024-06-20T16:55:30.000Z,1001,1,false
1718899800000445711,20003,3,2024-06-20T16:55:30.000Z,1001,1,false
1718899800000445811,20014,3,2024-06-20T16:55:30.000Z,1001,1,false
1718899800000445911,20003,3,2024-06-20T16:55:30.000Z,1001,1,false
1718899800000448511,20016,3,2024-06-20T16:55:41.000Z,1001,1,false
1718899800000448611,20013,3,2024-06-20T16:55:41.000Z,1001,1,false
1718899800000448711,20000,3,2024-06-20T16:55:41.000Z,1001,1,false
1718899800000448811,20005,3,2024-06-20T16:55:41.000Z,1001,1,false
1718899800000448911,20000,3,2024-06-20T16:55:41.000Z,1001,1,false
1718899800000449011,20013,3,2024-06-20T16:55:41.000Z,1001,1,false
1718899800000449111,21007,4,2024-06-20T16:55:41.000Z,1001,1,false
1718899800000449211,20006,3,2024-06-20T16:55:41.000Z,1001,1,false
1718899800000449311,20000,3,2024-06-20T16:55:41.000Z,1001,1,false
1718899800000449411,20004,3,2024-06-20T16:55:41.000Z,1001,1,false
1718899800000450511,20004,3,2024-06-20T16:55:45.000Z,1001,1,false
1718899800000450611,20017,3,2024-06-20T16:55:45.000Z,1001,1,false
1718899800000450711,20006,3,2024-06-20T16:55:45.000Z,1001,1,false
1718899800000450811,20013,3,2024-06-20T16:55:45.000Z,1001,1,false
1718899800000450911,20003,3,2024-06-20T16:55:45.000Z,1001,1,false
1718899800000451011,1105,4,2024-06-20T16:55:45.000Z,1001,1,false
1718899800000451111,20012,3,2024-06-20T16:55:45.000Z,1001,1,false
1718899800000451211,20015,3,2024-06-20T16:55:45.000Z,1001,1,false
1718899800000451311,20012,3,2024-06-20T16:55:45.000Z,1001,1,false
1718899800000451411,20002,3,2024-06-20T16:55:45.000Z,1001,1,false
1718899800000455211,20012,3,2024-06-20T16:56:01.000Z,1001,1,false
1718899800000455311,20000,3,2024-06-20T16:56:01.000Z,1001,1,false
1718899800000455411,20005,3,2024-06-20T16:56:01.000Z,1001,1,false
1718899800000455511,1009,4,2024-06-20T16:56:01.000Z,1001,1,false
1718899800000455611,20008,3,2024-06-20T16:56:01.000Z,1001,1,false
1718899800000455711,20013,3,2024-06-20T16:56:01.000Z,1001,1,false
1718899800000455811,20001,3,2024-06-20T16:56:01.000Z,1001,1,false
1718899800000455911,20011,3,2024-06-20T16:56:01.000Z,1001,1,false
1718899800000456011,20011,3,2024-06-20T16:56:01.000Z,1001,1,false
1718899800000456111,20004,3,2024-06-20T16:56:01.000Z,1001,1,false
1719857400000051811,20008,3,2024-07-01T18:08:32.000Z,1001,1,false
1719857400000051911,20003,3,2024-07-01T18:08:32.000Z,1001,1,false
1719857400000052011,21010,4,2024-07-01T18:08:32.000Z,1001,1,false
1719857400000052111,20007,3,2024-07-01T18:08:32.000Z,1001,1,false
1719857400000052211,20015,3,2024-07-01T18:08:32.000Z,1001,1,false
1719857400000052311,20002,3,2024-07-01T18:08:32.000Z,1001,1,false
1719857400000052411,20004,3,2024-07-01T18:08:32.000Z,1001,1,false
1719857400000052511,20011,3,2024-07-01T18:08:32.000Z,1001,1,false
1719857400000052611,20002,3,2024-07-01T18:08:32.000Z,1001,1,false
1719857400000052711,20012,3,2024-07-01T18:08:32.000Z,1001,1,false
1722507000000203711,20004,3,2024-08-01T10:31:22.000Z,1001,1,false
1722507000000203811,1207,4,2024-08-01T10:31:22.000Z,1001,1,false
1722507000000203911,20018,3,2024-08-01T10:31:22.000Z,1001,1,false
1722507000000204011,20009,3,2024-08-01T10:31:22.000Z,1001,1,false
1722507000000204111,20018,3,2024-08-01T10:31:22.000Z,1001,1,false
1722507000000204211,20018,3,2024-08-01T10:31:22.000Z,1001,1,false
1722507000000204311,20000,3,2024-08-01T10:31:22.000Z,1001,1,false
1722507000000204411,20005,3,2024-08-01T10:31:22.000Z,1001,1,false
1722507000000204511,20000,3,2024-08-01T10:31:22.000Z,1001,1,false
1722507000000204611,20011,3,2024-08-01T10:31:22.000Z,1001,1,false
1723979400000023911,21020,4,2024-08-18T11:19:19.000Z,1001,1,false
1723979400000024011,20003,3,2024-08-18T11:19:19.000Z,1001,1,false
1723979400000024111,20003,3,2024-08-18T11:19:19.000Z,1001,1,false
1723979400000024211,20017,3,2024-08-18T11:19:19.000Z,1001,1,false
1723979400000024311,20013,3,2024-08-18T11:19:19.000Z,1001,1,false
1723979400000024411,20003,3,2024-08-18T11:19:19.000Z,1001,1,false
1723979400000024511,20015,3,2024-08-18T11:19:19.000Z,1001,1,false
1723979400000024611,20020,3,2024-08-18T11:19:19.000Z,1001,1,false
1723979400000024711,20006,3,2024-08-18T11:19:19.000Z,1001,1,false
1723979400000024811,20002,3,2024-08-18T11:19:19.000Z,1001,1,false
1724141400000024511,21007,4,2024-08-20T08:30:18.000Z,1001,1,false
1724141400000024711,1214,4,2024-08-20T08:30:28.000Z,1001,1,false
1724141400000043811,20010,3,2024-08-20T08:50:24.000Z,1001,1,false
1724141400000044211,20010,3,2024-08-20T08:50:39.000Z,1001,1,false
1724141400000044511,20001,3,2024-08-20T08:50:56.000Z,1001,1,false
1724141400000045911,20019,3,2024-08-20T08:51:09.000Z,1001,1,false
1724141400000046011,20005,3,2024-08-20T08:51:21.000Z,1001,1,false
1724141400000047211,23000,5,2024-08-20T08:51:32.000Z,1001,1,false
1725934200001450211,21002,4,2024-09-10T02:36:18.000Z,1001,1,false
1725934200001450311,20004,3,2024-09-10T02:36:18.000Z,1001,1,false
1725934200001450411,20001,3,2024-09-10T02:36:18.000Z,1001,1,false
1725934200001450511,20002,3,2024-09-10T02:36:18.000Z,1001,1,false
1725934200001450611,20012,3,2024-09-10T02:36:18.000Z,1001,1,false
1725934200001450711,20017,3,2024-09-10T02:36:18.000Z,1001,1,false
1725934200001450811,20002,3,2024-09-10T02:36:18.000Z,1001,1,false
1725934200001450911,20011,3,2024-09-10T02:36:18.000Z,1001,1,false
1725934200001451011,20020,3,2024-09-10T02:36:18.000Z,1001,1,false
1725934200001451111,21010,4,2024-09-10T02:36:18.000Z,1001,1,false
1727770200000231011,20006,3,2024-10-01T08:45:23.000Z,1001,1,false
1727770200000231111,20007,3,2024-10-01T08:45:23.000Z,1001,1,false
1727770200000231211,20018,3,2024-10-01T08:45:23.000Z,1001,1,false
1727770200000231311,20003,3,2024-10-01T08:45:23.000Z,1001,1,false
1727770200000231411,20013,3,2024-10-01T08:45:23.000Z,1001,1,false
1727770200000231511,20009,3,2024-10-01T08:45:23.000Z,1001,1,false
1727770200000231611,20015,3,2024-10-01T08:45:23.000Z,1001,1,false
1727770200000231711,1106,4,2024-10-01T08:45:23.000Z,1001,1,false
